               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024552,            0.020712,           0.0035365,             0.96073,             0.96699,             0.97096,             0.67717,            0.026253,            0.012056,           0.0038139,            0.006535,            0.006535,            0.006535
                  37,            0.024274,            0.020923,           0.0037294,              0.9629,             0.97542,             0.97091,             0.67854,            0.025278,            0.011924,           0.0035765,            0.006436,            0.006436,            0.006436
                  38,            0.024532,            0.020913,           0.0037202,             0.95893,             0.97381,             0.98159,             0.66573,            0.025763,            0.012088,           0.0035545,            0.006337,            0.006337,            0.006337
                  39,            0.023864,             0.02096,           0.0034663,             0.96092,             0.96259,             0.97093,             0.66846,            0.026012,            0.012101,           0.0035001,            0.006238,            0.006238,            0.006238
                  40,            0.023998,            0.020979,           0.0032302,             0.95723,              0.9776,             0.97131,              0.6985,            0.024678,            0.011891,           0.0035385,            0.006139,            0.006139,            0.006139
                  41,            0.023364,            0.020398,           0.0033508,             0.96831,             0.97576,             0.97913,             0.69299,            0.025406,            0.011815,           0.0034863,             0.00604,             0.00604,             0.00604
                  42,            0.023116,            0.020759,           0.0033262,             0.96316,             0.97469,             0.97044,             0.69547,            0.024725,            0.011783,           0.0034123,            0.005941,            0.005941,            0.005941
                  43,            0.023437,             0.02076,           0.0030944,             0.96099,             0.97973,             0.97159,             0.68986,            0.024636,            0.011519,           0.0033078,            0.005842,            0.005842,            0.005842
                  44,            0.023265,            0.020502,           0.0028237,             0.95822,             0.97389,             0.97634,             0.69098,              0.0248,            0.011753,           0.0033046,            0.005743,            0.005743,            0.005743
                  45,            0.022962,            0.020337,           0.0033416,             0.96515,             0.97448,              0.9701,             0.69296,            0.024548,            0.012193,           0.0033751,            0.005644,            0.005644,            0.005644
                  46,            0.023194,            0.019826,           0.0032477,             0.96343,             0.97785,             0.97289,             0.69331,            0.024778,            0.011659,           0.0032545,            0.005545,            0.005545,            0.005545
                  47,            0.022621,             0.02026,           0.0031772,             0.96533,             0.97821,             0.97582,             0.70226,            0.024455,            0.011691,           0.0032874,            0.005446,            0.005446,            0.005446
                  48,            0.022085,            0.020534,           0.0030084,             0.96639,             0.97413,             0.97503,             0.69943,            0.024607,            0.011641,           0.0031928,            0.005347,            0.005347,            0.005347
                  49,            0.022705,            0.020332,            0.003061,             0.96846,             0.98248,             0.97769,             0.69211,            0.024412,             0.01178,           0.0032164,            0.005248,            0.005248,            0.005248
                  50,            0.022207,            0.019847,           0.0027986,             0.96646,             0.97082,             0.97513,             0.70136,            0.024655,            0.011569,           0.0032112,            0.005149,            0.005149,            0.005149
                  51,            0.022386,            0.020477,           0.0029249,             0.96461,             0.97258,             0.97531,             0.70027,            0.024673,            0.011732,           0.0031967,             0.00505,             0.00505,             0.00505
                  52,            0.022156,            0.020262,           0.0030491,             0.96459,             0.97204,             0.97157,             0.70175,            0.024208,            0.011564,             0.00318,            0.004951,            0.004951,            0.004951
                  53,            0.021763,            0.019668,           0.0030625,             0.95957,             0.97451,             0.97365,             0.70712,            0.023817,            0.011555,           0.0031585,            0.004852,            0.004852,            0.004852
                  54,             0.02173,            0.020418,           0.0025345,             0.97315,             0.97567,             0.98293,             0.69061,            0.024538,            0.011629,           0.0031144,            0.004753,            0.004753,            0.004753
                  55,            0.021616,            0.020046,           0.0031832,             0.96937,             0.97578,             0.98275,             0.71342,            0.024092,            0.011558,           0.0031683,            0.004654,            0.004654,            0.004654
                  56,            0.021592,            0.019892,           0.0027286,             0.97166,             0.96979,             0.97949,             0.70131,            0.024252,            0.011671,           0.0031857,            0.004555,            0.004555,            0.004555
                  57,            0.021437,            0.019909,           0.0027503,              0.9666,             0.97051,             0.98045,             0.70591,            0.024496,            0.011488,           0.0030309,            0.004456,            0.004456,            0.004456
                  58,            0.021427,            0.019181,           0.0026254,             0.96898,             0.97732,              0.9813,             0.71115,            0.023869,            0.011526,           0.0031618,            0.004357,            0.004357,            0.004357
                  59,             0.02126,            0.019349,           0.0030107,             0.96554,             0.97573,             0.97998,             0.71049,            0.023724,            0.011616,           0.0031896,            0.004258,            0.004258,            0.004258
                  60,            0.020769,            0.019941,           0.0024027,             0.96389,             0.97329,             0.97982,              0.7118,            0.023753,            0.011671,           0.0031233,            0.004159,            0.004159,            0.004159
                  61,            0.020797,            0.020029,           0.0024984,             0.96897,             0.97079,             0.98035,             0.71317,            0.023922,            0.011694,           0.0030747,             0.00406,             0.00406,             0.00406
                  62,            0.020957,            0.019806,           0.0027057,             0.96282,             0.97328,             0.97998,             0.70227,            0.024062,             0.01156,            0.003167,            0.003961,            0.003961,            0.003961
                  63,            0.020979,            0.019585,           0.0027168,             0.96548,             0.97267,             0.97901,             0.70061,            0.023963,            0.011758,           0.0030158,            0.003862,            0.003862,            0.003862
                  64,             0.02057,            0.019384,           0.0027102,             0.96523,             0.97539,             0.97956,              0.7077,            0.023761,            0.011517,           0.0031432,            0.003763,            0.003763,            0.003763
                  65,            0.020413,            0.019256,           0.0024651,             0.96726,             0.97387,             0.98247,             0.71168,            0.024047,            0.011738,           0.0030024,            0.003664,            0.003664,            0.003664
                  66,            0.020238,             0.01906,           0.0023695,             0.96762,             0.97391,             0.97903,             0.71384,            0.023498,            0.011633,           0.0031431,            0.003565,            0.003565,            0.003565
                  67,            0.020119,            0.019669,           0.0025356,             0.96237,             0.96713,             0.97057,             0.70921,            0.023932,            0.011608,           0.0032853,            0.003466,            0.003466,            0.003466
                  68,            0.020061,            0.019114,           0.0023261,             0.97071,             0.97722,             0.98379,              0.7159,            0.023592,            0.011481,           0.0029876,            0.003367,            0.003367,            0.003367
                  69,            0.019907,            0.018983,           0.0027131,             0.96926,             0.97814,             0.97984,             0.70903,            0.023525,              0.0115,           0.0029305,            0.003268,            0.003268,            0.003268
                  70,            0.019909,            0.018971,           0.0023412,             0.95848,             0.97808,             0.98354,             0.71466,            0.023336,            0.011493,           0.0029492,            0.003169,            0.003169,            0.003169
                  71,            0.019731,            0.019393,           0.0024963,             0.96794,             0.97559,             0.97666,             0.71051,            0.023674,            0.011563,           0.0029331,             0.00307,             0.00307,             0.00307
                  72,            0.019931,            0.019086,           0.0026558,             0.95344,             0.97721,             0.97211,             0.71153,            0.023564,            0.011545,           0.0029237,            0.002971,            0.002971,            0.002971
                  73,            0.019531,            0.019021,           0.0022398,             0.96229,             0.97559,              0.9765,             0.72242,            0.023399,            0.011475,           0.0028936,            0.002872,            0.002872,            0.002872
                  74,            0.019102,            0.018879,           0.0021747,             0.96707,             0.97571,             0.98103,             0.71231,            0.023467,            0.011583,           0.0029822,            0.002773,            0.002773,            0.002773
                  75,            0.019344,            0.018893,           0.0022783,             0.96727,             0.97774,              0.9816,             0.72234,            0.023108,            0.011476,            0.002994,            0.002674,            0.002674,            0.002674
                  76,            0.019319,             0.01899,           0.0020365,             0.96338,             0.98575,              0.9831,             0.70956,            0.023497,            0.011478,            0.003161,            0.002575,            0.002575,            0.002575
                  77,             0.01941,            0.018619,           0.0021585,             0.96453,               0.982,             0.98253,              0.7137,            0.023498,            0.011387,           0.0029923,            0.002476,            0.002476,            0.002476
                  78,            0.019149,            0.019163,           0.0021418,             0.96183,             0.97188,             0.97377,              0.7132,            0.023352,            0.011367,           0.0031482,            0.002377,            0.002377,            0.002377
                  79,            0.018966,            0.018798,           0.0021412,             0.96475,             0.98028,             0.98102,              0.7175,            0.023432,            0.011549,           0.0029537,            0.002278,            0.002278,            0.002278
                  80,            0.018671,            0.018905,           0.0020737,             0.96318,             0.96959,             0.97894,             0.71896,            0.023233,            0.011389,            0.002955,            0.002179,            0.002179,            0.002179
                  81,            0.018804,             0.01833,           0.0019966,             0.95683,               0.968,             0.97252,             0.72188,            0.023434,            0.011403,             0.00309,             0.00208,             0.00208,             0.00208
                  82,            0.018634,            0.018949,           0.0020268,             0.96312,             0.96949,             0.97401,             0.71403,            0.023312,            0.011329,           0.0030169,            0.001981,            0.001981,            0.001981
                  83,            0.019166,            0.018718,           0.0022766,             0.96015,             0.97019,             0.97356,             0.72117,            0.023228,            0.011553,           0.0030865,            0.001882,            0.001882,            0.001882
                  84,             0.01874,            0.019118,           0.0021744,              0.9632,             0.97074,              0.9752,             0.72023,            0.023307,             0.01144,           0.0030635,            0.001783,            0.001783,            0.001783
                  85,            0.018741,            0.018611,           0.0021516,             0.96322,             0.97013,             0.97914,             0.72485,            0.022882,            0.011251,           0.0030188,            0.001684,            0.001684,            0.001684
                  86,            0.018501,            0.018356,           0.0020673,             0.95901,             0.97052,             0.97862,             0.71952,            0.023202,            0.011309,           0.0031027,            0.001585,            0.001585,            0.001585
                  87,             0.01847,            0.018626,           0.0018188,             0.95821,             0.97254,             0.97315,             0.71662,            0.023184,            0.011374,           0.0031066,            0.001486,            0.001486,            0.001486
